p_up_entry,p_up_exit,cooldown,trail_pct,max_hold,valid_n_trades,valid_total_return,valid_win_rate,valid_sharpe,valid_max_dd,test_n_trades,test_total_return,test_win_rate,test_sharpe,test_max_dd,forward_n_trades,forward_total_return,forward_win_rate,forward_sharpe,forward_max_dd,score
0.55,0.4,15,0.08,30,0,0.0,0.0,0.0,0.0,4,-0.0378,0.25,-1.473,-0.0455,5,0.1966,0.6,0.755,-0.0854,0.044425
0.53,0.45,12,0.06,30,3,-0.068,0.3333,-1.349,-0.068,6,0.1799,0.5,1.395,-0.0423,11,0.4776,0.6364,1.441,-0.0994,0.044017875
0.53,0.45,9,0.06,30,3,-0.068,0.3333,-1.349,-0.068,6,0.1799,0.5,1.395,-0.0423,11,0.4776,0.6364,1.441,-0.0994,0.044017875
0.49,0.43,9,0.06,30,0,0.0,0.0,0.0,0.0,9,0.1021,0.4444,0.781,-0.0815,12,0.1222,0.3333,0.524,-0.0879,0.043312500000000004
0.55,0.45,6,0.08,30,3,-0.1297,0.3333,-2.434,-0.1297,4,-0.0338,0.25,-1.222,-0.0455,12,0.6035,0.6667,1.646,-0.0854,0.043044375
0.53,0.47,6,0.07,30,4,-0.1472,0.5,-2.242,-0.1472,6,0.03,0.3333,0.329,-0.0859,13,0.5782,0.6923,1.614,-0.1179,0.04286700000000001
0.55,0.45,9,0.08,30,3,-0.1297,0.3333,-2.434,-0.1297,4,-0.0338,0.25,-1.222,-0.0455,11,0.5989,0.7273,1.721,-0.0854,0.042664875000000005
0.55,0.43,12,0.06,30,0,0.0,0.0,0.0,0.0,4,-0.0195,0.25,-0.537,-0.0455,7,0.1781,0.4286,0.703,-0.1053,0.0420875
0.55,0.43,15,0.06,30,0,0.0,0.0,0.0,0.0,4,-0.0195,0.25,-0.537,-0.0455,7,0.1781,0.4286,0.703,-0.1053,0.0420875
0.55,0.43,9,0.06,30,0,0.0,0.0,0.0,0.0,4,-0.0195,0.25,-0.537,-0.0455,7,0.1781,0.4286,0.703,-0.1053,0.0420875
0.55,0.47,9,0.07,30,4,-0.1098,0.5,-1.878,-0.1098,4,-0.0338,0.25,-1.222,-0.0455,12,0.5786,0.6667,1.661,-0.1245,0.04181100000000001
0.55,0.4,6,0.08,30,0,0.0,0.0,0.0,0.0,4,-0.0378,0.25,-1.473,-0.0455,6,0.1846,0.5,0.718,-0.0854,0.041425
0.51,0.4,15,0.08,30,0,0.0,0.0,0.0,0.0,7,0.0162,0.2857,0.218,-0.0598,6,0.1573,0.5,0.712,-0.0409,0.04135
0.52,0.47,6,0.07,30,4,-0.1472,0.5,-2.242,-0.1472,8,0.0023,0.375,0.095,-0.1332,15,0.5681,0.6667,1.546,-0.1179,0.040891125
0.49,0.43,12,0.07,30,0,0.0,0.0,0.0,0.0,9,0.1241,0.4444,0.942,-0.0632,11,0.1009,0.3636,0.457,-0.0882,0.0407375
0.51,0.45,9,0.08,30,3,-0.152,0.0,-3.363,-0.152,8,0.0963,0.375,0.737,-0.0598,15,0.5162,0.6,1.448,-0.1228,0.040288874999999995
0.55,0.47,6,0.07,30,4,-0.1084,0.5,-1.867,-0.1084,4,-0.0338,0.25,-1.222,-0.0455,13,0.5527,0.6154,1.538,-0.1245,0.039731999999999996
0.53,0.45,15,0.06,30,3,-0.068,0.3333,-1.349,-0.068,5,0.07,0.4,0.698,-0.0504,11,0.4776,0.6364,1.441,-0.0994,0.039484500000000006
0.55,0.43,6,0.06,30,0,0.0,0.0,0.0,0.0,4,-0.0195,0.25,-0.537,-0.0455,8,0.1663,0.375,0.666,-0.1053,0.0391375
0.49,0.43,15,0.06,30,0,0.0,0.0,0.0,0.0,9,0.048,0.4444,0.517,-0.0632,11,0.1294,0.4545,0.579,-0.0924,0.038349999999999995
0.52,0.45,12,0.06,30,3,-0.068,0.3333,-1.349,-0.068,8,0.1184,0.375,0.892,-0.0597,13,0.439,0.6154,1.434,-0.0994,0.03829650000000001
0.49,0.43,6,0.06,30,0,0.0,0.0,0.0,0.0,11,0.0237,0.4545,0.279,-0.0871,12,0.1408,0.4167,0.521,-0.1403,0.0381625
0.53,0.45,6,0.06,30,3,-0.068,0.3333,-1.349,-0.068,6,0.03,0.3333,0.329,-0.0859,12,0.478,0.6667,1.432,-0.0994,0.0378675
0.53,0.47,6,0.06,30,4,-0.0781,0.5,-1.47,-0.0781,6,0.03,0.3333,0.329,-0.0859,13,0.4773,0.6154,1.375,-0.1365,0.037393125000000006
0.55,0.45,12,0.08,30,3,-0.1297,0.3333,-2.434,-0.1297,4,-0.0338,0.25,-1.222,-0.0455,11,0.5314,0.7273,1.736,-0.0854,0.037096125
0.52,0.43,6,0.06,30,0,0.0,0.0,0.0,0.0,8,-0.0093,0.25,-0.002,-0.1332,9,0.1528,0.4444,0.627,-0.0994,0.0370375
0.52,0.47,6,0.06,30,4,-0.0781,0.5,-1.47,-0.0781,8,0.0023,0.375,0.095,-0.1332,15,0.4838,0.6,1.366,-0.1365,0.03678674999999999
0.52,0.43,15,0.06,30,0,0.0,0.0,0.0,0.0,7,0.0292,0.2857,0.319,-0.0995,8,0.1315,0.375,0.549,-0.0994,0.036525
0.52,0.45,6,0.06,30,3,-0.068,0.3333,-1.349,-0.068,8,-0.0237,0.25,-0.128,-0.1332,14,0.4844,0.6429,1.418,-0.0994,0.036180375
0.49,0.45,15,0.08,30,3,-0.152,0.0,-3.363,-0.152,10,0.1087,0.5,0.878,-0.0632,15,0.4585,0.6667,1.393,-0.0945,0.036040125000000006
0.52,0.45,9,0.07,30,3,-0.1378,0.3333,-2.467,-0.1378,8,0.1184,0.375,0.892,-0.0597,13,0.4457,0.6923,1.311,-0.1179,0.035969999999999995
0.49,0.45,9,0.08,30,3,-0.152,0.0,-3.363,-0.152,10,0.1659,0.5,1.082,-0.0815,18,0.4171,0.6111,1.155,-0.2057,0.034984125000000005
0.55,0.43,9,0.07,30,0,0.0,0.0,0.0,0.0,4,-0.0195,0.25,-0.537,-0.0455,7,0.1489,0.4286,0.597,-0.1245,0.0347875
0.55,0.43,15,0.07,30,0,0.0,0.0,0.0,0.0,4,-0.0195,0.25,-0.537,-0.0455,7,0.1489,0.4286,0.597,-0.1245,0.0347875
0.55,0.43,12,0.07,30,0,0.0,0.0,0.0,0.0,4,-0.0195,0.25,-0.537,-0.0455,7,0.1489,0.4286,0.597,-0.1245,0.0347875
0.53,0.45,12,0.07,30,3,-0.1378,0.3333,-2.467,-0.1378,6,0.1799,0.5,1.395,-0.0423,11,0.3989,0.6364,1.211,-0.1179,0.034645875
0.53,0.45,9,0.07,30,3,-0.1378,0.3333,-2.467,-0.1378,6,0.1799,0.5,1.395,-0.0423,11,0.3989,0.6364,1.211,-0.1179,0.034645875
0.49,0.45,12,0.08,30,3,-0.152,0.0,-3.363,-0.152,10,0.1891,0.5,1.238,-0.0632,17,0.3982,0.5882,1.232,-0.1716,0.03438187499999999
0.51,0.43,6,0.06,30,0,0.0,0.0,0.0,0.0,9,0.0232,0.3333,0.261,-0.0868,11,0.1258,0.3636,0.489,-0.1527,0.03435
0.55,0.45,6,0.06,30,3,-0.0593,0.3333,-1.196,-0.0611,4,-0.0338,0.25,-1.222,-0.0455,12,0.4553,0.5833,1.362,-0.1053,0.033721875
0.55,0.45,9,0.06,30,3,-0.0593,0.3333,-1.196,-0.0611,4,-0.0338,0.25,-1.222,-0.0455,11,0.4511,0.6364,1.419,-0.1053,0.033375375
0.49,0.45,6,0.08,30,3,-0.152,0.0,-3.363,-0.152,12,0.083,0.5,0.653,-0.1008,19,0.4341,0.6316,1.116,-0.2384,0.032966999999999996
0.55,0.47,6,0.06,30,4,-0.0811,0.5,-1.347,-0.0811,4,-0.0338,0.25,-1.222,-0.0455,13,0.4549,0.5385,1.311,-0.142,0.032789624999999996
0.55,0.45,15,0.08,30,3,-0.1297,0.3333,-2.434,-0.1297,4,-0.0338,0.25,-1.222,-0.0455,11,0.4786,0.7273,1.704,-0.0854,0.032740125
0.55,0.43,6,0.07,30,0,0.0,0.0,0.0,0.0,4,-0.0195,0.25,-0.537,-0.0455,8,0.1374,0.375,0.562,-0.1245,0.031912499999999996
0.52,0.45,15,0.06,30,3,-0.068,0.3333,-1.349,-0.068,7,0.0142,0.2857,0.193,-0.0995,12,0.41,0.5833,1.23,-0.0994,0.03160575
0.51,0.47,12,0.07,30,4,-0.1508,0.25,-2.761,-0.1508,8,0.0923,0.5,0.784,-0.0598,15,0.3976,0.6,1.253,-0.1196,0.03038887500000001
0.53,0.45,15,0.07,30,3,-0.1378,0.3333,-2.467,-0.1378,5,0.07,0.4,0.698,-0.0504,11,0.3989,0.6364,1.211,-0.1179,0.030112500000000004
0.49,0.47,15,0.07,30,4,-0.0799,0.25,-1.557,-0.0799,10,0.1048,0.5,0.872,-0.0771,16,0.3513,0.625,1.316,-0.0912,0.030009375
0.49,0.4,6,0.06,30,0,0.0,0.0,0.0,0.0,9,-0.1355,0.2222,-2.064,-0.1654,8,0.4157,0.625,1.421,-0.0402,0.028705875
0.53,0.45,6,0.07,30,3,-0.1378,0.3333,-2.467,-0.1378,6,0.03,0.3333,0.329,-0.0859,12,0.3992,0.6667,1.208,-0.1179,0.028487250000000002
0.55,0.45,12,0.06,30,3,-0.0593,0.3333,-1.196,-0.0611,4,-0.0338,0.25,-1.222,-0.0455,11,0.3898,0.6364,1.418,-0.1053,0.028318124999999996
0.52,0.45,12,0.07,30,3,-0.1378,0.3333,-2.467,-0.1378,8,0.1184,0.375,0.892,-0.0597,13,0.3477,0.6154,1.146,-0.1179,0.027885
0.51,0.45,12,0.06,30,3,-0.0834,0.3333,-2.11,-0.0834,8,0.0963,0.375,0.737,-0.0598,14,0.3302,0.5714,1.124,-0.1003,0.027773625000000003
0.49,0.43,9,0.07,30,0,0.0,0.0,0.0,0.0,9,0.1021,0.4444,0.781,-0.0815,12,0.0592,0.3333,0.308,-0.1208,0.0275625
0.51,0.43,15,0.06,30,0,0.0,0.0,0.0,0.0,8,0.063,0.375,0.571,-0.0598,10,0.0785,0.4,0.393,-0.0924,0.0275
0.52,0.43,6,0.07,30,0,0.0,0.0,0.0,0.0,8,-0.0093,0.25,-0.002,-0.1332,9,0.1132,0.4444,0.486,-0.1179,0.0271375
0.51,0.47,6,0.07,30,4,-0.1612,0.25,-2.736,-0.1612,9,-0.0085,0.4444,0.003,-0.1253,17,0.4127,0.5882,1.15,-0.1708,0.027047625000000006
0.52,0.43,15,0.07,30,0,0.0,0.0,0.0,0.0,7,0.0292,0.2857,0.319,-0.0995,8,0.0927,0.375,0.414,-0.1179,0.026825
0.51,0.47,15,0.07,30,4,-0.0799,0.25,-1.557,-0.0799,8,0.03,0.5,0.331,-0.0913,14,0.3445,0.6429,1.525,-0.0912,0.026362875
0.51,0.43,12,0.06,30,0,0.0,0.0,0.0,0.0,8,0.1274,0.375,0.897,-0.0598,10,0.0413,0.3,0.25,-0.1003,0.026250000000000002
0.49,0.4,6,0.07,30,0,0.0,0.0,0.0,0.0,9,-0.1355,0.2222,-2.064,-0.1654,8,0.3804,0.625,1.305,-0.0402,0.025793625
0.52,0.45,6,0.07,30,3,-0.1378,0.3333,-2.467,-0.1378,8,-0.0237,0.25,-0.128,-0.1332,14,0.3903,0.6429,1.161,-0.1179,0.025537874999999998
0.51,0.47,9,0.07,30,4,-0.167,0.25,-2.716,-0.167,8,0.0923,0.5,0.784,-0.0598,16,0.3445,0.5,1.062,-0.151,0.025339874999999994
0.49,0.43,6,0.07,30,0,0.0,0.0,0.0,0.0,11,0.0237,0.4545,0.279,-0.0871,12,0.0885,0.4167,0.378,-0.1662,0.0250875
0.51,0.43,6,0.07,30,0,0.0,0.0,0.0,0.0,9,0.0232,0.3333,0.261,-0.0868,11,0.0862,0.3636,0.374,-0.1708,0.02445
0.55,0.45,15,0.06,30,3,-0.0593,0.3333,-1.196,-0.0611,4,-0.0338,0.25,-1.222,-0.0455,11,0.3419,0.6364,1.379,-0.1053,0.024366375000000003
0.55,0.45,6,0.07,30,3,-0.1297,0.3333,-2.434,-0.1297,4,-0.0338,0.25,-1.222,-0.0455,12,0.3765,0.5833,1.14,-0.1245,0.024316874999999998
0.51,0.45,6,0.06,30,3,-0.0834,0.3333,-2.11,-0.0834,9,-0.005,0.3333,0.039,-0.1061,16,0.3386,0.5625,1.016,-0.1527,0.024288
0.55,0.45,9,0.07,30,3,-0.1297,0.3333,-2.434,-0.1297,4,-0.0338,0.25,-1.222,-0.0455,11,0.3725,0.6364,1.177,-0.1245,0.023986874999999998
0.51,0.4,6,0.06,30,0,0.0,0.0,0.0,0.0,8,-0.1483,0.125,-3.694,-0.1483,7,0.3565,0.5714,1.249,-0.037,0.023293875
0.49,0.4,12,0.06,30,0,0.0,0.0,0.0,0.0,7,-0.065,0.2857,-0.917,-0.065,7,0.3049,0.5714,1.274,-0.0404,0.022473
0.49,0.4,9,0.06,30,0,0.0,0.0,0.0,0.0,7,-0.0833,0.2857,-1.168,-0.0833,8,0.3064,0.5,1.243,-0.05,0.021841875
0.49,0.47,6,0.07,30,4,-0.1612,0.25,-2.736,-0.1612,12,0.0792,0.5,0.64,-0.1272,21,0.3319,0.5238,0.908,-0.2328,0.0218175
0.51,0.4,6,0.07,30,0,0.0,0.0,0.0,0.0,8,-0.1483,0.125,-3.694,-0.1483,7,0.3373,0.5714,1.179,-0.037,0.021709875000000003
0.51,0.47,6,0.06,30,4,-0.0933,0.5,-2.085,-0.0933,9,-0.0085,0.4444,0.003,-0.1253,17,0.338,0.5294,0.988,-0.1876,0.0215325
0.49,0.45,9,0.06,30,3,-0.0834,0.3333,-2.11,-0.0834,10,0.1659,0.5,1.082,-0.0815,18,0.2369,0.5,0.806,-0.1496,0.02086125
0.49,0.47,9,0.07,30,4,-0.167,0.25,-2.716,-0.167,10,0.1617,0.6,1.165,-0.0815,20,0.2787,0.5,0.868,-0.191,0.02070375
0.51,0.45,9,0.06,30,3,-0.0834,0.3333,-2.11,-0.0834,8,0.0963,0.375,0.737,-0.0598,15,0.263,0.4667,0.907,-0.123,0.020208749999999998
0.49,0.47,6,0.06,30,4,-0.0933,0.5,-2.085,-0.0933,12,0.0792,0.5,0.64,-0.1272,21,0.2755,0.4762,0.791,-0.24,0.020133750000000002
0.49,0.4,12,0.07,30,0,0.0,0.0,0.0,0.0,7,-0.065,0.2857,-0.917,-0.065,7,0.2724,0.5714,1.141,-0.0404,0.01979175
0.49,0.47,12,0.07,30,4,-0.1508,0.25,-2.761,-0.1508,10,0.1849,0.6,1.347,-0.0632,18,0.2456,0.5,0.91,-0.1214,0.019698750000000004
0.52,0.45,15,0.07,30,3,-0.1378,0.3333,-2.467,-0.1378,7,0.0142,0.2857,0.193,-0.0995,12,0.3205,0.5833,0.983,-0.1179,0.0194025
0.55,0.45,12,0.07,30,3,-0.1297,0.3333,-2.434,-0.1297,4,-0.0338,0.25,-1.222,-0.0455,11,0.3145,0.6364,1.143,-0.1245,0.019201875
0.49,0.4,9,0.07,30,0,0.0,0.0,0.0,0.0,7,-0.0833,0.2857,-1.168,-0.0833,8,0.2738,0.5,1.118,-0.05,0.019152375000000003
0.49,0.45,12,0.06,30,3,-0.0834,0.3333,-2.11,-0.0834,10,0.1891,0.5,1.238,-0.0632,17,0.2003,0.4706,0.778,-0.1276,0.01898625
0.49,0.43,15,0.07,30,0,0.0,0.0,0.0,0.0,9,0.048,0.4444,0.517,-0.0632,11,0.0515,0.4545,0.287,-0.1022,0.018875
0.51,0.43,9,0.06,30,0,0.0,0.0,0.0,0.0,8,0.1274,0.375,0.897,-0.0598,11,0.0096,0.2727,0.128,-0.123,0.018325
0.52,0.4,15,0.06,30,0,0.0,0.0,0.0,0.0,6,-0.0927,0.1667,-2.286,-0.0995,5,0.2543,0.6,1.001,-0.059,0.017155875
0.51,0.45,15,0.06,30,3,-0.0834,0.3333,-2.11,-0.0834,8,0.0337,0.375,0.352,-0.0714,14,0.2308,0.5714,1.105,-0.0813,0.016990875
0.49,0.45,6,0.06,30,3,-0.0834,0.3333,-2.11,-0.0834,12,0.083,0.5,0.653,-0.1008,19,0.2245,0.5263,0.713,-0.2022,0.0168225
0.51,0.45,12,0.07,30,3,-0.152,0.0,-3.363,-0.152,8,0.0963,0.375,0.737,-0.0598,14,0.2447,0.5714,0.861,-0.1196,0.01626375
0.53,0.4,6,0.06,30,0,0.0,0.0,0.0,0.0,5,-0.0786,0.2,-2.433,-0.0859,6,0.2546,0.6667,0.999,-0.059,0.0161475
0.55,0.45,15,0.07,30,3,-0.1297,0.3333,-2.434,-0.1297,4,-0.0338,0.25,-1.222,-0.0455,11,0.2692,0.6364,1.082,-0.1245,0.015464625
0.53,0.4,6,0.07,30,0,0.0,0.0,0.0,0.0,5,-0.0786,0.2,-2.433,-0.0859,6,0.238,0.6667,0.928,-0.0683,0.014902499999999999
0.52,0.4,15,0.07,30,0,0.0,0.0,0.0,0.0,6,-0.0927,0.1667,-2.286,-0.0995,5,0.2377,0.6,0.927,-0.0683,0.01435125
0.52,0.4,6,0.06,30,0,0.0,0.0,0.0,0.0,7,-0.1266,0.1429,-3.008,-0.1332,6,0.2546,0.6667,0.999,-0.059,0.0143475
0.49,0.4,15,0.06,30,0,0.0,0.0,0.0,0.0,7,-0.1265,0.1429,-3.259,-0.1265,7,0.2333,0.5714,1.033,-0.0404,0.014029125
0.51,0.43,12,0.07,30,0,0.0,0.0,0.0,0.0,8,0.1274,0.375,0.897,-0.0598,10,-0.009,0.3,0.053,-0.1196,0.013675000000000001
0.52,0.4,6,0.07,30,0,0.0,0.0,0.0,0.0,7,-0.1266,0.1429,-3.008,-0.1332,6,0.238,0.6667,0.928,-0.0683,0.0131025
0.51,0.45,6,0.07,30,3,-0.152,0.0,-3.363,-0.152,9,-0.005,0.3333,0.039,-0.1061,16,0.2526,0.5625,0.796,-0.1708,0.013057499999999998
0.53,0.4,6,0.08,30,0,0.0,0.0,0.0,0.0,5,-0.0786,0.2,-2.433,-0.0859,6,0.2059,0.6667,0.804,-0.0785,0.012495
0.52,0.4,15,0.08,30,0,0.0,0.0,0.0,0.0,6,-0.0927,0.1667,-2.286,-0.0995,5,0.2056,0.6,0.798,-0.0785,0.01194375
0.51,0.43,15,0.07,30,0,0.0,0.0,0.0,0.0,8,0.063,0.375,0.571,-0.0598,10,0.0154,0.4,0.147,-0.1022,0.011725
0.51,0.4,12,0.06,30,0,0.0,0.0,0.0,0.0,7,-0.0616,0.2857,-0.883,-0.0616,6,0.1817,0.5,0.831,-0.0372,0.0113175
0.51,0.4,9,0.06,30,0,0.0,0.0,0.0,0.0,7,-0.0616,0.2857,-0.883,-0.0616,7,0.1753,0.4286,0.806,-0.0425,0.010837500000000002
0.52,0.4,6,0.08,30,0,0.0,0.0,0.0,0.0,7,-0.1266,0.1429,-3.008,-0.1332,6,0.2059,0.6667,0.804,-0.0785,0.010695
0.51,0.45,9,0.07,30,3,-0.152,0.0,-3.363,-0.152,8,0.0963,0.375,0.737,-0.0598,15,0.169,0.4667,0.622,-0.151,0.01058625
0.49,0.45,15,0.06,30,3,-0.0834,0.3333,-2.11,-0.0834,10,0.1087,0.5,0.878,-0.0632,15,0.1156,0.5333,0.555,-0.0813,0.00961875
0.51,0.4,15,0.06,30,0,0.0,0.0,0.0,0.0,7,-0.1152,0.1429,-2.982,-0.1152,6,0.1817,0.5,0.831,-0.0372,0.0093075
0.49,0.4,15,0.07,30,0,0.0,0.0,0.0,0.0,7,-0.1265,0.1429,-3.259,-0.1265,7,0.1862,0.5714,0.84,-0.0404,0.00922125
0.51,0.4,12,0.07,30,0,0.0,0.0,0.0,0.0,7,-0.0616,0.2857,-0.883,-0.0616,6,0.1492,0.5,0.691,-0.0372,0.00888
0.51,0.4,9,0.07,30,0,0.0,0.0,0.0,0.0,7,-0.0616,0.2857,-0.883,-0.0616,7,0.1429,0.4286,0.67,-0.0425,0.0084075
0.49,0.45,9,0.07,30,3,-0.152,0.0,-3.363,-0.152,10,0.1659,0.5,1.082,-0.0815,18,0.1049,0.5,0.425,-0.188,0.008388749999999999
0.49,0.45,12,0.07,30,3,-0.152,0.0,-3.363,-0.152,10,0.1891,0.5,1.238,-0.0632,17,0.0839,0.4706,0.387,-0.1579,0.00768375
0.51,0.4,15,0.07,30,0,0.0,0.0,0.0,0.0,7,-0.1152,0.1429,-2.982,-0.1152,6,0.1492,0.5,0.691,-0.0372,0.00687
0.51,0.45,15,0.07,30,3,-0.152,0.0,-3.363,-0.152,8,0.0337,0.375,0.352,-0.0714,14,0.1392,0.5714,0.692,-0.0912,0.0060037499999999995
0.49,0.45,6,0.07,30,3,-0.152,0.0,-3.363,-0.152,12,0.083,0.5,0.653,-0.1008,19,0.1058,0.5263,0.412,-0.23,0.0053475
0.51,0.43,9,0.07,30,0,0.0,0.0,0.0,0.0,8,0.1274,0.375,0.897,-0.0598,11,-0.0496,0.2727,-0.101,-0.151,0.003525000000000002
0.49,0.45,15,0.07,30,3,-0.152,0.0,-3.363,-0.152,10,0.1087,0.5,0.878,-0.0632,15,-0.0034,0.5333,0.075,-0.1384,-0.0018787499999999996
